City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Savantvadi,IN,75.2,mist,15.9,73.82,Bungalow At Sawantwadi
2,Atuona,PF,78.48,clear sky,-9.8,-139.03,Villa Enata
6,Ballina,AU,75.99,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
7,Lorengau,PG,84.13,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
8,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
11,Butaritari,KI,80.89,few clouds,3.07,172.79,Isles Sunset Lodge
13,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
18,Kapaa,US,86.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
25,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
29,Otatitlan,MX,86.16,light rain,18.2,-96.03,EL RANCHITO OTATITLAN HOTEL
35,Uribia,CO,86.43,clear sky,11.71,-72.27,Hotel Uribia
40,Port Blair,IN,80.83,light rain,11.67,92.75,Fortune Resort Bay Island
42,San Patricio,US,89.6,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
43,Hilo,US,87.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
54,Bodden Town,KY,87.8,few clouds,19.28,-81.25,Will T Place
68,Meulaboh,ID,76.24,heavy intensity rain,4.14,96.13,Kost Pria
69,Xuddur,SO,75.0,broken clouds,4.12,43.89,Banjanay Hotel
76,Victoria,HK,79.0,broken clouds,22.29,114.16,Mini Hotel Central
77,Naze,JP,77.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
78,Labuhan,ID,79.57,clear sky,-6.88,112.21,bador sepret
80,Diamantino,BR,75.58,light rain,-14.41,-56.45,Hotel Delta
83,Half Moon Bay,US,77.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
86,Lompoc,US,77.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
90,Laguna,US,84.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
91,Puerto Colombia,CO,86.0,scattered clouds,10.99,-74.95,Hotel El Emigrante
92,Makakilo City,US,87.8,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
93,Meadow Lake,US,82.0,clear sky,34.8,-106.54,JKL Inc. R.V Park and Storage
96,Doha,QA,84.2,clear sky,25.29,51.53,Doha Marriott Hotel
97,Kimbe,PG,86.56,broken clouds,-5.55,150.14,Kimbe Bay Hotel
103,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
104,Harper,LR,77.47,light rain,4.38,-7.72,Screensaver
108,Hithadhoo,MV,82.15,light rain,-0.6,73.08,Scoop Guest House
113,Lingao,CN,77.79,overcast clouds,19.91,109.69,Lingao Ditai Inn
117,Acajutla,SV,87.8,few clouds,13.59,-89.83,Stop.
122,Ciudad Bolivar,VE,83.34,light rain,8.12,-63.55,Hotel Edi
124,Port Macquarie,AU,75.0,clear sky,-31.43,152.92,Rydges Port Macquarie
135,Tessalit,ML,82.63,broken clouds,20.2,1.01,
136,Le Vauclin,MQ,80.6,light rain,14.55,-60.84,Hôtel Cap Macabou
139,Yenagoa,NG,75.0,few clouds,4.92,6.26,Amba Hotels Limited
144,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
147,Pitimbu,BR,75.2,clear sky,-7.47,-34.81,Reserva do Abiaí
148,Muisne,EC,75.2,scattered clouds,0.6,-80.03,Quinta Samay
149,Hobyo,SO,78.6,clear sky,5.35,48.53,Osmani Hotel
151,Miandrivazo,MG,76.39,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
153,Sao Filipe,CV,79.25,clear sky,14.9,-24.5,Tortuga B&B
154,Red Bluff,US,82.4,clear sky,40.18,-122.24,Hampton Inn & Suites Red Bluff
160,Buala,SB,85.03,light rain,-8.14,159.59,Maringe Lagoon Lodge
161,Tiarei,PF,86.0,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
162,Hambantota,LK,80.22,broken clouds,6.12,81.12,Bungalow 63
166,Sola,VU,84.2,broken clouds,-13.88,167.55,Leumerus Bungalows
168,Tadine,NC,78.26,scattered clouds,-21.55,167.88,
170,Bubaque,GW,83.26,light rain,11.28,-15.83,Casa Dora - Mango Lodge
171,Sebring,US,82.4,clear sky,27.5,-81.44,La Quinta Inn & Suites by Wyndham Sebring
172,Socorro,US,89.6,dust,31.65,-106.3,guarderia imss papalote
179,Erzin,TR,75.99,clear sky,36.96,36.2,Artemis Otel
181,Labuan,MY,75.2,moderate rain,5.28,115.24,Tiara Labuan Hotel
182,Bitung,ID,77.0,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
183,Cabo San Lucas,MX,89.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
185,Atambua,ID,78.13,few clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
186,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
189,Coahuayana,MX,75.2,thunderstorm with rain,18.73,-103.68,Hotel Los Arcos
190,Mana,GF,81.12,scattered clouds,5.66,-53.78,LE SAMANA
191,Saint George,US,86.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
193,Sulangan,PH,82.09,overcast clouds,11.14,123.72,Maia's Beach Resort
195,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
196,Alta Floresta,BR,81.23,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
197,Maragogi,BR,75.42,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
200,Bhagalpur,IN,77.18,clear sky,25.25,87.0,Rajhans International Hotel
206,Matara,LK,78.96,light rain,5.95,80.54,Amaloh Boutique Resort
207,Warri,NG,75.18,overcast clouds,5.52,5.75,BON Hotel Delta
208,Diu,IN,80.31,overcast clouds,20.71,70.98,Hotel Relax Inn
209,Namatanai,PG,84.33,scattered clouds,-3.67,152.43,Namatanai Hotel
214,Anito,PH,77.92,overcast clouds,12.45,125.29,The Yellow House
215,Wilmington,US,78.01,light rain,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
217,Sinnamary,GF,80.94,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
220,Bonthe,SL,78.44,light rain,7.53,-12.51,Bonthe Holiday Village
221,Iracoubo,GF,81.64,few clouds,5.48,-53.2,Le Gite D Iracoubo
222,Marawi,PH,77.0,light rain,8.0,124.29,Derogongan Residence
230,Sorong,ID,81.81,broken clouds,-0.88,131.25,The Waigo Hotel
236,Acarau,BR,78.57,clear sky,-2.89,-40.12,castelo pizzaria
237,Wattegama,LK,76.3,overcast clouds,6.8,81.48,
238,Kavieng,PG,83.8,scattered clouds,-2.57,150.8,Nusa Island Retreat
241,General Cepeda,MX,86.0,broken clouds,25.38,-101.45,Hacienda Los Jose
246,Mabaruma,GY,77.95,scattered clouds,8.2,-59.78,
247,Manggar,ID,81.54,overcast clouds,-2.88,108.27,Guest Hotel
256,Panguna,PG,81.9,scattered clouds,-6.32,155.48,
258,Kutum,SD,78.89,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
259,Minab,IR,77.0,clear sky,27.15,57.08,فروشگاه موبایل ترکمانی
260,Totness,SR,81.72,scattered clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
262,Mahibadhoo,MV,82.02,light rain,3.78,72.97,Omadhoo Inn
264,Goure,NE,86.0,clear sky,13.98,10.27,
266,Ca Mau,VN,75.6,moderate rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
