City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sinnamary,GF,5.38,-52.95,81.07,77,16,11.61,few clouds
1,Kruisfontein,ZA,-34.0,24.73,57.6,46,69,7.11,broken clouds
2,Thompson,CA,55.74,-97.86,39.2,80,75,13.87,light intensity shower rain
3,Avarua,CK,-21.21,-159.78,73.4,83,90,3.36,light rain
4,Morant Bay,JM,17.88,-76.41,81.0,94,75,11.41,shower rain
5,Progreso,MX,21.28,-89.67,91.4,63,75,11.92,broken clouds
6,Taoudenni,ML,22.68,-3.98,90.75,15,29,7.23,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,44.6,75,75,5.82,broken clouds
8,Xai-Xai,MZ,-25.05,33.64,61.38,88,6,3.94,clear sky
9,Cheboksary,RU,56.13,47.25,53.6,75,40,8.95,scattered clouds
10,Northam,GB,51.03,-4.22,54.0,83,47,8.01,scattered clouds
11,Bredasdorp,ZA,-34.53,20.04,59.0,72,22,16.11,few clouds
12,Zhigansk,RU,66.77,123.37,13.46,96,77,13.11,broken clouds
13,Impfondo,CG,1.64,18.07,71.17,88,16,2.46,few clouds
14,Manaus,BR,-3.1,-60.02,87.8,66,20,4.7,few clouds
15,Tara,RU,56.89,74.37,39.33,94,2,5.14,clear sky
16,Albany,US,42.6,-73.97,54.0,59,94,7.54,overcast clouds
17,Disa,IN,24.25,72.17,79.29,31,0,2.8,clear sky
18,Maragogi,BR,-9.01,-35.22,75.69,80,8,8.95,clear sky
19,Butaritari,KI,3.07,172.79,82.47,73,33,17.6,scattered clouds
20,Hermanus,ZA,-34.42,19.23,57.99,83,1,5.01,clear sky
21,Castro,BR,-24.79,-50.01,64.65,62,1,2.82,clear sky
22,Akyab,MM,20.15,92.9,78.55,88,51,6.6,broken clouds
23,New Norfolk,AU,-42.78,147.06,54.0,56,9,3.0,clear sky
24,Vaini,TO,-21.2,-175.2,77.0,65,20,13.87,few clouds
25,Ascension,US,30.22,-90.9,89.01,55,1,6.29,clear sky
26,Victoria,HK,22.29,114.16,79.0,81,100,1.99,light rain
27,Kodiak,US,57.79,-152.41,42.8,81,90,2.84,overcast clouds
28,Tynda,RU,55.17,124.72,23.76,86,100,9.48,overcast clouds
29,Fort Myers Beach,US,26.45,-81.95,84.99,70,1,12.75,clear sky
30,Isangel,VU,-19.55,169.27,77.0,94,90,9.17,light rain
31,Porto Santo,PT,33.07,-16.34,69.8,77,20,13.87,few clouds
32,Hofn,IS,64.25,-15.21,46.06,82,94,3.74,overcast clouds
33,Lata,PT,40.16,-8.33,59.0,75,0,1.01,clear sky
34,Erenhot,CN,43.65,111.98,27.81,72,0,8.14,clear sky
35,Port Hedland,AU,-20.32,118.57,69.8,73,0,4.7,clear sky
36,Saravan,AM,39.72,45.65,50.0,66,0,4.7,clear sky
37,Mataura,NZ,-46.19,168.86,54.0,69,56,7.0,broken clouds
38,Divo,CI,5.84,-5.36,71.31,99,91,2.89,overcast clouds
39,Hithadhoo,MV,-0.6,73.08,82.09,72,69,12.08,broken clouds
40,Rikitea,PF,-23.12,-134.97,74.07,75,9,14.94,clear sky
41,General Pico,AR,-35.66,-63.76,66.16,36,0,6.87,clear sky
